,Brainstem,SpinalCord,Esophagus,Larynx,Mandible_Bone,Parotid_L,Parotid_R,Acoustic_L,Acoustic_R,Lens_L,Lens_R,Eye_L,Eye_R,Nrv_Optic_L,Nrv_Optic_R,OpticChiasm
0,0.7975089783754872,0.8556748821756934,0.5612093399919017,0.39839628613631567,0.8849349039057657,0.9092526690391459,0.8666423535132507,0.31343283582089554,0.2775229357798165,0.6794520547945205,0.7377049180327869,0.8993141289437586,0.861216176898458,0.5873015873015873,0.504950495049505,0.0
1,0.8463748683076334,0.8641755944604128,0.6495771670190275,0.3815409971157808,0.8560611244155548,0.8150644202180377,0.8291000922733233,0.37443744374437443,0.3206751054852321,0.6007067137809188,0.5487364620938628,0.8527243821361469,0.8592592592592593,0.5290519877675841,0.6078431372549019,0.0
2,0.825829887544924,0.8399182237436409,0.6819558632626569,0.3347886669763121,0.8719136452323802,0.808962607303943,0.8835849205721963,0.43802816901408453,0.350188679245283,0.833922261484099,0.9169960474308301,0.887076217180729,0.8880896389542122,0.643646408839779,0.6666666666666666,0.5361803084223014
3,0.8230361871138571,0.8485934777196913,0.5711553175210405,0.36996446765700586,0.8771423605075612,0.8538580246913581,0.8922436655922314,0.2497541789577188,0.23839662447257384,0.576,0.6496815286624203,0.9261381725565107,0.8728617660656496,0.5808695652173913,0.5379746835443038,0.27289048473967686
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.816104971296911,0.8575291090663294,0.5422764227642276,0.42531790489430427,0.8741717477155935,0.8149356882319063,0.848068669527897,0.3336422613531047,0.2732049036777583,0.4918032786885246,0.6159695817490495,0.9070194781330393,0.9053577937067185,0.6177606177606177,0.6642335766423357,0.40476190476190477
6,0.853263218556404,0.8590256760714634,0.6385007947795532,0.5086744432661718,0.9046665202052183,0.8372750844660957,0.8362209584270158,0.3113342898134864,0.2702702702702703,0.6620689655172414,0.5490196078431373,0.9295003422313484,0.8580281690140845,0.5972222222222222,0.6659815005138746,0.5571095571095571
7,0.8736035049288061,0.8514632799558255,0.5685781053388459,0.3484438129911646,0.8760504872982905,0.8692208794034456,0.8427702662809234,0.3191673894189072,0.2923387096774194,0.6907630522088354,0.7889273356401384,0.9286936679977182,0.9117208470026842,0.4851063829787234,0.6618531889290012,0.6500541711809318
8,0.0,0.6906771712624273,0.4452716149480357,0.16363409770687937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.8760824926345862,0.8154936571712338,0.6475539628302358,0.44593193174318846,0.9019561037066508,0.8643752054644409,0.8763817784589298,0.32744186046511625,0.3952855847688123,0.8429752066115702,0.6764705882352942,0.8988932096918935,0.8943640283338467,0.5626134301270418,0.7254305977710233,0.4918032786885246
